context	question	pred_answer	label	pred_verify
The English name "Normans" comes from the French words Normans/Normanz, plural of Normant, modern French normand, which is itself borrowed from Old Low Franconian Nortmann "Northman" or directly from Old Norse NorÃ°maÃ°r, Latinized variously as Nortmannus, Normannus, or Nordmannus (recorded in Medieval Latin, 9th century) to mean "Norseman, Viking"	When was the Latin version of the word Norman first recorded?	9th century	0	0
Soon after the Normans began to enter Italy, they entered the Byzantine Empire and then Armenia, fighting against the Pechenegs, the Bulgars, and especially the Seljuk Turks	Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?	Seljuk Turks	0	0
The descendants of Rollo's Vikings and their Frankish wives would replace the Norse religion and Old Norse language with Catholicism (Christianity) and the Gallo-Romance language of the local people, blending their maternal Frankish heritage with Old Norse traditions and customs to synthesize a unique "Norman" culture in the north of France	What part of France were the Normans located?	north	1	0
 Earlier Viking settlers had begun arriving in the 880s, but were divided between colonies in the east (Roumois and Pays de Caux) around the low Seine valley and in the west in the Cotentin Peninsula, and were separated by traditional pagii, where the population remained about the same with almost no foreign settlers	When did Rollo begin to arrive in Normandy?	880s	1	0
One of the first Norman mercenaries to serve as a Byzantine general was HervÃ© in the 1050s	When did Herve serve as a Byzantine general?	1050s	1	0
 The force, therefore, is related directly to the difference in potential energy between two different locations in space, and can be considered to be an artifact of the potential field in the same way that the direction and amount of a flow of water can be considered to be an artifact of the contour map of the elevation of an area	What can not be considered an artifact of the potential field?	flow of water	1	0
 The Normans were famed for their martial spirit and eventually for their Christian piety, becoming exponents of the Catholic orthodoxy into which they assimilated	What religion were the Normans	Christian	0	0
 In macroscopic closed systems, nonconservative forces act to change the internal energies of the system, and are often associated with the transfer of heat	What is the exchange of heat associated with?	macroscopic closed systems	0	0
The Normans thereafter adopted the growing feudal doctrines of the rest of France, and worked them into a functional hierarchical system in both Normandy and in England	Who adopted the fuedel doctrines of the Normans?	the rest of France	1	0
The English name "Normans" comes from the French words Normans/Normanz, plural of Normant, modern French normand, which is itself borrowed from Old Low Franconian Nortmann "Northman" or directly from Old Norse NorÃ°maÃ°r, Latinized variously as Nortmannus, Normannus, or Nordmannus (recorded in Medieval Latin, 9th century) to mean "Norseman, Viking"	What is the original meaning of the word Norman?	plural of Normant	0	0
The English name "Normans" comes from the French words Normans/Normanz, plural of Normant, modern French normand, which is itself borrowed from Old Low Franconian Nortmann "Northman" or directly from Old Norse NorÃ°maÃ°r, Latinized variously as Nortmannus, Normannus, or Nordmannus (recorded in Medieval Latin, 9th century) to mean "Norseman, Viking"	When was the French version of the word Norman first recorded?	Medieval Latin, 9th century	1	0
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	When was the Duchy of Normandy founded?	911	1	0
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	When was the Duchy of Normandy founded?	911	0	0
 Norman adventurers founded the Kingdom of Sicily under Roger II after conquering southern Italy on the Saracens and Byzantines, and an expedition on behalf of their duke, William the Conqueror, led to the Norman conquest of England at the Battle of Hastings in 1066	What principality did William the conquerer found?	Norman conquest of England	1	0
The descendants of Rollo's Vikings and their Frankish wives would replace the Norse religion and Old Norse language with Catholicism (Christianity) and the Gallo-Romance language of the local people, blending their maternal Frankish heritage with Old Norse traditions and customs to synthesize a unique "Norman" culture in the north of France	What did maternal Old Norse traditions merge with?	Frankish heritage	1	0
Soon after the Normans began to enter Italy, they entered the Byzantine Empire and then Armenia, fighting against the Pechenegs, the Bulgars, and especially the Seljuk Turks	Who did the Normans fight in Italy?	the Pechenegs, the Bulgars, and especially the Seljuk Turks	1	1
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	Who established a treaty with King Charles the third of France?	Rollo	1	0
 Most Norman knights remained poor and land-hungry, and by 1066 Normandy had been exporting fighting horsemen for more than a generation	What was one of the Norman's major exports?	fighting horsemen	1	0
 The Normans were famed for their martial spirit and eventually for their Christian piety, becoming exponents of the Catholic orthodoxy into which they assimilated	Who assimilted the Roman language?	Normans	1	0
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	When was the Duchy of Normandy founded?	911	1	0
The Norman dynasty had a major political, cultural and military impact on medieval Europe and even the Near East	What type of major impact did the Norman dynasty have on modern Europe?	political, cultural and military	1	0
 In the 1060s, Robert Crispin led the Normans of Edessa against the Turks	When did Robert Crispin go up against the Turks?	1060s	1	1
The Normans thereafter adopted the growing feudal doctrines of the rest of France, and worked them into a functional hierarchical system in both Normandy and in England	Who adopted the fuedel doctrines of the Normans?	the rest of France	1	0
 Most Norman knights remained poor and land-hungry, and by 1066 Normandy had been exporting fighting horsemen for more than a generation	What was one of the Norman's major exports?	fighting horsemen	0	0
 Norman adventurers founded the Kingdom of Sicily under Roger II after conquering southern Italy on the Saracens and Byzantines, and an expedition on behalf of their duke, William the Conqueror, led to the Norman conquest of England at the Battle of Hastings in 1066	Who was the duke in the battle of Hastings?	William the Conqueror	0	0
One of the first Norman mercenaries to serve as a Byzantine general was HervÃ© in the 1050s	When did Herve serve as a Byzantine general?	1050s	0	0
 According to the Second law of thermodynamics, nonconservative forces necessarily result in energy transformations within closed systems from ordered to more random conditions as entropy increases	What is the law of thermodynamics associated with closed system heat exchange?	the Second law of thermodynamics	0	0
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	Who established a treaty with King Charles the third of France?	Rollo	1	0
The descendants of Rollo's Vikings and their Frankish wives would replace the Norse religion and Old Norse language with Catholicism (Christianity) and the Gallo-Romance language of the local people, blending their maternal Frankish heritage with Old Norse traditions and customs to synthesize a unique "Norman" culture in the north of France	What language replaced the Gallo-Romance language?	Catholicism	1	0
 Rollo's contingents who raided and ultimately settled Normandy and parts of the Atlantic coast included Danes, Norwegians, Norseâ€“Gaels, Orkney Vikings, possibly Swedes, and Anglo-Danes from the English Danelaw under Norse control	What Viking groups were conquered by Rollo?	Anglo-Danes from the English Danelaw	1	0
 The area corresponded to the northern part of present-day Upper Normandy down to the river Seine, but the Duchy would eventually extend west beyond the Seine	What river originally bounded the Duchy	river Seine	1	0
 Norman mercenaries were first encouraged to come to the south by the Lombards to act against the Byzantines, but they soon fought in Byzantine service in Sicily	Who did the Normans encourage to come to the south?	Norman mercenaries	1	0
 Most Norman knights remained poor and land-hungry, and by 1066 Normandy had been exporting fighting horsemen for more than a generation	What was one of the Norman's major imports?	horsemen	1	0
The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France	Who gave their name to Normandy in the 1000's and 1100's	The Normans	1	0
The descendants of Rollo's Vikings and their Frankish wives would replace the Norse religion and Old Norse language with Catholicism (Christianity) and the Gallo-Romance language of the local people, blending their maternal Frankish heritage with Old Norse traditions and customs to synthesize a unique "Norman" culture in the north of France	What was the Norman religion?	Catholicism	0	0
Before Rollo's arrival, its populations did not differ from Picardy or the ÃŽle-de-France, which were considered "Frankish"	Who upon arriving gave the original viking settlers a common identity?	Rollo	0	0
 The Duchy of Normandy, which they formed by treaty with the French crown, was a great fief of medieval France, and under Richard I of Normandy was forged into a cohesive and formidable principality in feudal tenure	Who ruled the duchy of Normandy	Richard I of Normandy	1	1
The English name "Normans" comes from the French words Normans/Normanz, plural of Normant, modern French normand, which is itself borrowed from Old Low Franconian Nortmann "Northman" or directly from Old Norse NorÃ°maÃ°r, Latinized variously as Nortmannus, Normannus, or Nordmannus (recorded in Medieval Latin, 9th century) to mean "Norseman, Viking"	When was the French version of the word Norman first recorded?	Medieval Latin, 9th century	1	0
The descendants of Rollo's Vikings and their Frankish wives would replace the Norse religion and Old Norse language with Catholicism (Christianity) and the Gallo-Romance language of the local people, blending their maternal Frankish heritage with Old Norse traditions and customs to synthesize a unique "Norman" culture in the north of France	What did maternal Old Norse traditions merge with?	Frankish heritage	1	0
The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France	What is France a region of?	Normandy	1	0
 They were descended from Norse ("Norman" comes from "Norseman") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia	Who was the Norse leader?	Rollo	1	0
 The force, therefore, is related directly to the difference in potential energy between two different locations in space, and can be considered to be an artifact of the potential field in the same way that the direction and amount of a flow of water can be considered to be an artifact of the contour map of the elevation of an area	What can not be considered an artifact of the potential field?	flow of water	1	0
 The force, therefore, is related directly to the difference in potential energy between two different locations in space, and can be considered to be an artifact of the potential field in the same way that the direction and amount of a flow of water can be considered to be an artifact of the contour map of the elevation of an area	What can not be considered an artifact of the potential field?	flow of water	1	0
For certain physical scenarios, it is impossible to model forces as being due to gradient of potentials	Why are some forces due to that are impossible to model?	gradient of potentials	0	0
The descendants of Rollo's Vikings and their Frankish wives would replace the Norse religion and Old Norse language with Catholicism (Christianity) and the Gallo-Romance language of the local people, blending their maternal Frankish heritage with Old Norse traditions and customs to synthesize a unique "Norman" culture in the north of France	What was the Norman religion?	Catholicism	0	0
The Norman dynasty had a major political, cultural and military impact on medieval Europe and even the Near East	What type of major impact did the Norman dynasty have on modern Europe?	political, cultural and military	1	0
The descendants of Rollo's Vikings and their Frankish wives would replace the Norse religion and Old Norse language with Catholicism (Christianity) and the Gallo-Romance language of the local people, blending their maternal Frankish heritage with Old Norse traditions and customs to synthesize a unique "Norman" culture in the north of France	What part of France were the Normans located?	north	0	0
The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France	What is France a region of?	Normandy	1	0
 Norman mercenaries were first encouraged to come to the south by the Lombards to act against the Byzantines, but they soon fought in Byzantine service in Sicily	Who did the Normans encourage to come to the south?	Norman mercenaries	1	0
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	Who established a treaty with King Charles the third of France?	Rollo	1	0
 They were descended from Norse ("Norman" comes from "Norseman") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia	Who did King Charles III swear fealty to?	West Francia	1	0
 Nonconservative forces other than friction include other contact forces, tension, compression, and drag	Tension, compression, and drag are what kind of forces?	Nonconservative	0	1
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	Who established a treaty with King Charles the third of France?	Rollo	1	0
 They were prominent alongside Varangian and Lombard contingents in the Sicilian campaign of George Maniaces in 1038â€“40	During what campaign did the Vargian and Lombard fight?	George Maniaces	1	0
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	What treaty was established in the 9th century?	treaty of Saint-Clair-sur-Epte	1	0
 The area corresponded to the northern part of present-day Upper Normandy down to the river Seine, but the Duchy would eventually extend west beyond the Seine	What river originally bounded the Duchy	river Seine	1	0
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	What treaty was established in the 9th century?	treaty of Saint-Clair-sur-Epte	1	0
The English name "Normans" comes from the French words Normans/Normanz, plural of Normant, modern French normand, which is itself borrowed from Old Low Franconian Nortmann "Northman" or directly from Old Norse NorÃ°maÃ°r, Latinized variously as Nortmannus, Normannus, or Nordmannus (recorded in Medieval Latin, 9th century) to mean "Norseman, Viking"	When was the Latin version of the word Norman first recorded?	9th century	0	0
The descendants of Rollo's Vikings and their Frankish wives would replace the Norse religion and Old Norse language with Catholicism (Christianity) and the Gallo-Romance language of the local people, blending their maternal Frankish heritage with Old Norse traditions and customs to synthesize a unique "Norman" culture in the north of France	What did maternal Old Norse traditions merge with?	Frankish heritage	1	0
 They were prominent alongside Varangian and Lombard contingents in the Sicilian campaign of George Maniaces in 1038â€“40	During what campaign did the Vargian and Lombard fight?	George Maniaces	1	0
 Norman adventurers founded the Kingdom of Sicily under Roger II after conquering southern Italy on the Saracens and Byzantines, and an expedition on behalf of their duke, William the Conqueror, led to the Norman conquest of England at the Battle of Hastings in 1066	What principality did William the conquerer found?	Norman conquest of England	1	0
The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France	Who gave their name to Normandy in the 1000's and 1100's	The Normans	1	0
Soon after the Normans began to enter Italy, they entered the Byzantine Empire and then Armenia, fighting against the Pechenegs, the Bulgars, and especially the Seljuk Turks	Who entered Italy soon after the Byzantine Empire?	the Normans	1	0
The descendants of Rollo's Vikings and their Frankish wives would replace the Norse religion and Old Norse language with Catholicism (Christianity) and the Gallo-Romance language of the local people, blending their maternal Frankish heritage with Old Norse traditions and customs to synthesize a unique "Norman" culture in the north of France	What was replace with the Norse religion?	Catholicism	1	0
 Norman mercenaries were first encouraged to come to the south by the Lombards to act against the Byzantines, but they soon fought in Byzantine service in Sicily	Who did the Normans encourage to come to the south?	Norman mercenaries	1	1
 Through generations of assimilation and mixing with the native Frankish and Roman-Gaulish populations, their descendants would gradually merge with the Carolingian-based cultures of West Francia	When did the Frankish identity emerge?	Frankish	1	0
In the course of the 10th century, the initially destructive incursions of Norse war bands into the rivers of France evolved into more permanent encampments that included local women and personal property	when did Nors encampments ivolve into destructive incursions?	10th century	1	1
 Most Norman knights remained poor and land-hungry, and by 1066 Normandy had been exporting fighting horsemen for more than a generation	What was one of the Norman's major exports?	fighting horsemen	1	0
 For example, friction is caused by the gradients of numerous electrostatic potentials between the atoms, but manifests as a force model that is independent of any macroscale position vector	What do electrostatic gradiient potentials create?	friction	0	0
 The treaty offered Rollo and his men the French lands between the river Epte and the Atlantic coast in exchange for their protection against further Viking incursions	What did the French promises to protect Rollo and his men from?	Viking incursions	1	0
 The force, therefore, is related directly to the difference in potential energy between two different locations in space, and can be considered to be an artifact of the potential field in the same way that the direction and amount of a flow of water can be considered to be an artifact of the contour map of the elevation of an area	What is the force between two locations related to?	difference in potential energy between two different locations in space	0	0
 The force, therefore, is related directly to the difference in potential energy between two different locations in space, and can be considered to be an artifact of the potential field in the same way that the direction and amount of a flow of water can be considered to be an artifact of the contour map of the elevation of an area	What can not be considered an artifact of the potential field?	flow of water	1	0
The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France	What century did the Normans first gain their separate identity?	10th	1	0
The English name "Normans" comes from the French words Normans/Normanz, plural of Normant, modern French normand, which is itself borrowed from Old Low Franconian Nortmann "Northman" or directly from Old Norse NorÃ°maÃ°r, Latinized variously as Nortmannus, Normannus, or Nordmannus (recorded in Medieval Latin, 9th century) to mean "Norseman, Viking"	What is the original meaning of the word Norman?	plural of Normant	1	1
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?	King Charles III of West Francia	1	1
 In the 1060s, Robert Crispin led the Normans of Edessa against the Turks	When did Robert Crispin go up against the Turks?	1060s	1	0
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	What treaty was established in the 9th century?	treaty of Saint-Clair-sur-Epte	1	0
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	When was the Duchy of Normandy founded?	911	0	0
 This means that for a closed system, the net mechanical energy is conserved whenever a conservative force acts on the system	Net mechanical energy is what in an open system?	conserved	1	0
For certain physical scenarios, it is impossible to model forces as being due to gradient of potentials	Why are some forces due to that are impossible to model?	gradient of potentials	0	0
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	When was the Duchy of Normandy founded?	911	1	0
 Through generations of assimilation and mixing with the native Frankish and Roman-Gaulish populations, their descendants would gradually merge with the Carolingian-based cultures of West Francia	When did the Frankish identity emerge?	Frankish	1	0
 Earlier Viking settlers had begun arriving in the 880s, but were divided between colonies in the east (Roumois and Pays de Caux) around the low Seine valley and in the west in the Cotentin Peninsula, and were separated by traditional pagii, where the population remained about the same with almost no foreign settlers	When did Rollo begin to arrive in Normandy?	880s	1	0
 Nonconservative forces other than friction include other contact forces, tension, compression, and drag	Tension, compression, and drag are what kind of forces?	Nonconservative	0	0
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?	King Charles III of West Francia	0	0
 The treaty offered Rollo and his men the French lands between the river Epte and the Atlantic coast in exchange for their protection against further Viking incursions	What did the French promises to protect Rollo and his men from?	Viking incursions	1	0
The English name "Normans" comes from the French words Normans/Normanz, plural of Normant, modern French normand, which is itself borrowed from Old Low Franconian Nortmann "Northman" or directly from Old Norse NorÃ°maÃ°r, Latinized variously as Nortmannus, Normannus, or Nordmannus (recorded in Medieval Latin, 9th century) to mean "Norseman, Viking"	What is the original meaning of the word Norman?	plural of Normant	0	0
The English name "Normans" comes from the French words Normans/Normanz, plural of Normant, modern French normand, which is itself borrowed from Old Low Franconian Nortmann "Northman" or directly from Old Norse NorÃ°maÃ°r, Latinized variously as Nortmannus, Normannus, or Nordmannus (recorded in Medieval Latin, 9th century) to mean "Norseman, Viking"	When was the Latin version of the word Norman first recorded?	9th century	0	1
Soon after the Normans began to enter Italy, they entered the Byzantine Empire and then Armenia, fighting against the Pechenegs, the Bulgars, and especially the Seljuk Turks	Who entered Italy soon after the Byzantine Empire?	the Normans	1	0
In the course of the 10th century, the initially destructive incursions of Norse war bands into the rivers of France evolved into more permanent encampments that included local women and personal property	when did Nors encampments ivolve into destructive incursions?	10th century	1	0
 They were descended from Norse ("Norman" comes from "Norseman") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia	From which countries did the Norse originate?	Denmark, Iceland and Norway	1	0
The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France	Who gave their name to Normandy in the 1000's and 1100's	The Normans	1	0
For certain physical scenarios, it is impossible to model forces as being due to gradient of potentials	Why are some forces due to that are impossible to model?	gradient of potentials	0	0
 They were descended from Norse ("Norman" comes from "Norseman") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia	Who did King Charles III swear fealty to?	West Francia	1	0
The connection between macroscopic nonconservative forces and microscopic conservative forces is described by detailed treatment with statistical mechanics	What makes energy changes in a closed system?	nonconservative forces	0	0
 Most Norman knights remained poor and land-hungry, and by 1066 Normandy had been exporting fighting horsemen for more than a generation	What was one of the Norman's major exports?	fighting horsemen	0	0
Soon after the Normans began to enter Italy, they entered the Byzantine Empire and then Armenia, fighting against the Pechenegs, the Bulgars, and especially the Seljuk Turks	Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?	Seljuk Turks	0	0
 Rollo's contingents who raided and ultimately settled Normandy and parts of the Atlantic coast included Danes, Norwegians, Norseâ€“Gaels, Orkney Vikings, possibly Swedes, and Anglo-Danes from the English Danelaw under Norse control	What Viking groups were conquered by Rollo?	Anglo-Danes from the English Danelaw	1	0
 Norman mercenaries were first encouraged to come to the south by the Lombards to act against the Byzantines, but they soon fought in Byzantine service in Sicily	Who did the Normans encourage to come to the south?	Norman mercenaries	1	0
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	What treaty was established in the 9th century?	treaty of Saint-Clair-sur-Epte	1	1
The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France	When were the Normans in Normandy?	10th and 11th centuries	1	0
The English name "Normans" comes from the French words Normans/Normanz, plural of Normant, modern French normand, which is itself borrowed from Old Low Franconian Nortmann "Northman" or directly from Old Norse NorÃ°maÃ°r, Latinized variously as Nortmannus, Normannus, or Nordmannus (recorded in Medieval Latin, 9th century) to mean "Norseman, Viking"	When was the French version of the word Norman first recorded?	Medieval Latin, 9th century	1	0
Soon after the Normans began to enter Italy, they entered the Byzantine Empire and then Armenia, fighting against the Pechenegs, the Bulgars, and especially the Seljuk Turks	Who entered Italy soon after the Byzantine Empire?	the Normans	1	0
The descendants of Rollo's Vikings and their Frankish wives would replace the Norse religion and Old Norse language with Catholicism (Christianity) and the Gallo-Romance language of the local people, blending their maternal Frankish heritage with Old Norse traditions and customs to synthesize a unique "Norman" culture in the north of France	What did maternal Old Norse traditions merge with?	Frankish heritage	1	0
Soon after the Normans began to enter Italy, they entered the Byzantine Empire and then Armenia, fighting against the Pechenegs, the Bulgars, and especially the Seljuk Turks	Who entered Italy soon after the Byzantine Empire?	the Normans	1	0
 The area corresponded to the northern part of present-day Upper Normandy down to the river Seine, but the Duchy would eventually extend west beyond the Seine	What river originally bounded the Duchy	river Seine	1	0
 The Normans were famed for their martial spirit and eventually for their Christian piety, becoming exponents of the Catholic orthodoxy into which they assimilated	What religion were the Normans	Christian	0	0
 According to the Second law of thermodynamics, nonconservative forces necessarily result in energy transformations within closed systems from ordered to more random conditions as entropy increases	What is the law of thermodynamics associated with closed system heat exchange?	the Second law of thermodynamics	0	0
 The treaty offered Rollo and his men the French lands between the river Epte and the Atlantic coast in exchange for their protection against further Viking incursions	What did the French promises to protect Rollo and his men from?	Viking incursions	1	0
The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France	What is France a region of?	Normandy	1	1
 The Normans were famed for their martial spirit and eventually for their Christian piety, becoming exponents of the Catholic orthodoxy into which they assimilated	What religion were the Normans	Christian	1	0
For certain physical scenarios, it is impossible to model forces as being due to gradient of potentials	What is sometimes impossible to model?	forces	0	0
The English name "Normans" comes from the French words Normans/Normanz, plural of Normant, modern French normand, which is itself borrowed from Old Low Franconian Nortmann "Northman" or directly from Old Norse NorÃ°maÃ°r, Latinized variously as Nortmannus, Normannus, or Nordmannus (recorded in Medieval Latin, 9th century) to mean "Norseman, Viking"	What is the original meaning of the word Norman?	plural of Normant	0	0
 They were descended from Norse ("Norman" comes from "Norseman") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia	Who did King Charles III swear fealty to?	West Francia	1	0
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?	King Charles III of West Francia	0	0
 This means that for a closed system, the net mechanical energy is conserved whenever a conservative force acts on the system	Net mechanical energy is what in an open system?	conserved	1	0
 The Duchy of Normandy, which they formed by treaty with the French crown, was a great fief of medieval France, and under Richard I of Normandy was forged into a cohesive and formidable principality in feudal tenure	Who ruled the country of Normandy?	Richard I of Normandy	1	0
The Normans thereafter adopted the growing feudal doctrines of the rest of France, and worked them into a functional hierarchical system in both Normandy and in England	Who adopted the fuedel doctrines of the Normans?	the rest of France	1	0
 Norman adventurers founded the Kingdom of Sicily under Roger II after conquering southern Italy on the Saracens and Byzantines, and an expedition on behalf of their duke, William the Conqueror, led to the Norman conquest of England at the Battle of Hastings in 1066	What principality did William the conquerer found?	Norman conquest of England	1	0
 Norman adventurers founded the Kingdom of Sicily under Roger II after conquering southern Italy on the Saracens and Byzantines, and an expedition on behalf of their duke, William the Conqueror, led to the Norman conquest of England at the Battle of Hastings in 1066	Who was the duke in the battle of Hastings?	William the Conqueror	1	1
The English name "Normans" comes from the French words Normans/Normanz, plural of Normant, modern French normand, which is itself borrowed from Old Low Franconian Nortmann "Northman" or directly from Old Norse NorÃ°maÃ°r, Latinized variously as Nortmannus, Normannus, or Nordmannus (recorded in Medieval Latin, 9th century) to mean "Norseman, Viking"	When was the Latin version of the word Norman first recorded?	9th century	1	0
 Most Norman knights remained poor and land-hungry, and by 1066 Normandy had been exporting fighting horsemen for more than a generation	What was one of the Norman's major imports?	horsemen	1	0
